영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
괴담만찬,2023-10-18,2023-10-18,신작,실사 한국,종영,27389,60448,162,4091,122,39.3,264,8,2023-10-09,2023-12-03,공포(호러),한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부"
마이 샤이니 월드,2023-11-03,2023-11-03,신작,공연·실황,종영,26480,15156,17,3129,93,27.0,243,12,2023-10-23,2024-01-14,"공연,다큐멘터리",한국,메가박스중앙(주)
르누아르,2026-04-22,2026-04-22,신작,실사 외화,종영,25423,27843,127,3468,107,34.8,149,9,2026-04-13,2026-06-14,드라마,일본,메가박스중앙(주)
어쩌면 해피엔딩,2025-10-02,2025-10-02,신작,공연·실황,종영,25292,35575,147,1527,109,34.8,140,10,2025-09-29,2025-12-07,"뮤지컬,멜로/로맨스",한국,"(주)키노필름,(주)아센디오,(주)영화특별시에스엠씨,(주)로드쇼플러스"
미드나잇 인 파리,2025-02-12,2012-07-05,재개봉/구작,실사 외화,종영,23454,34355,136,2779,141,58.7,174,8,2025-02-03,2025-03-30,"코미디,멜로/로맨스,판타지",미국,"(주)디스테이션,(주)드림팩트엔터테인먼트,(주)나이너스엔터테인먼트"
누벨바그,2025-12-31,2025-12-31,신작,실사 외화,종영,23029,24163,141,4051,120,39.7,144,8,2025-12-22,2026-02-15,드라마,프랑스,메가박스중앙(주)
베이비걸,2025-10-29,2025-10-29,신작,실사 외화,종영,22796,52896,157,5865,116,52.6,208,7,2025-10-20,2025-12-07,"스릴러,멜로/로맨스,드라마",미국,"메가박스중앙(주),주식회사 올랄라스토리"
몬테크리스토 백작,2026-02-13,2026-02-13,신작,실사 외화,종영,22636,14777,100,1786,80,27.1,126,12,2026-02-16,2026-05-10,드라마,프랑스,"찬란,(주)버킷스튜디오"
컨택트,2024-11-13,2017-02-02,재개봉/구작,실사 외화,종영,21575,21161,78,4221,90,40.1,181,5,2024-11-11,2024-12-15,"SF,드라마,스릴러",미국,유니버설픽쳐스인터내셔널 코리아(유)
워킹맨,2025-10-01,2025-10-01,신작,실사 외화,종영,21014,52983,173,4459,172,46.5,181,7,2025-09-29,2025-11-16,"액션,스릴러,범죄",미국,"메가박스중앙(주),(주)스튜디오디에이치엘"
카드캡터 체리 극장판,2026-05-28,2026-05-28,신작,애니메이션,종영,20238,25681,162,4456,159,34.3,127,8,2026-05-25,2026-07-19,애니메이션,일본,(주)삼백상회
패왕별희 디 오리지널,2024-03-27,2017-03-30,재개봉/구작,실사 외화,종영,20234,18985,103,5922,99,34.8,147,6,2024-03-25,2024-05-05,"드라마,멜로/로맨스",중국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
극장판 총집편 걸즈 밴드 크라이 청춘광주곡,2026-01-28,2026-01-28,신작,애니메이션,종영,20191,32387,130,5344,129,32.3,167,8,2026-01-26,2026-03-22,애니메이션,일본,(주)애니플러스
