영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
힘,2025-11-27,6626,70830170,1,13,2026-02
어디로 가고 싶으신가요,2023-07-05,6624,57118216,1,1,2024-09
로맨스 빠빠,1960-01-28,6614,14155000,1,5,2025-11
어른이 되면,2018-12-13,6609,46299400,1,1,2025-09
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,2024-10-16,6517,61719900,1,1,2025-12
언니는 말괄량이,,6489,11648000,1,6,2026-02
부전시장,2025-03-27,6410,56981300,1,21,2025-09
돌핀,2024-03-13,6379,55552539,1,1,2025-03
클라이밍,2021-06-16,6362,40953850,1,1,2024-08
언니 유정,2024-12-04,6307,53760200,1,1,2025-12
케이 넘버,2025-05-14,6296,53204300,1,1,2026-05
썬더버드,2022-09-21,6275,53209800,1,1,2025-12
황진이,1986-09-18,6241,12956000,1,2,2026-01
"그 겨울, 나는",2022-11-30,6230,47166293,1,1,2024-12
"1991, 봄",2018-10-31,6195,45374250,1,2,2026-06
탑,2022-11-03,6175,57981293,1,4,2026-06
폭로,2023-09-20,6161,51688600,1,17,2024-01
그녀가 돌아온 날,2026-05-06,6154,57232770,4,16,2026-07
세하별,2025-06-25,6150,50058400,2,3,2025-08
그림자 아이,2026-07-01,6149,55180400,126,1005,2026-07
그 자연이 네게 뭐라고 하니,2025-05-14,6087,55348000,1,2,2026-06
열여덟 청춘,2026-03-25,6066,55664650,1,5,2026-05
K스쿨,2024-02-21,5990,44463900,1,3,2025-12
수연의 선율,2025-08-06,5969,49962600,1,3,2026-06
극장의 시간들,2026-03-18,5945,58310450,11,123,2026-06
힘을 낼 시간,2024-12-18,5914,58678200,1,2,2026-04
채식주의자,2010-02-18,5871,46830500,1,3,2024-12
승리의 시작,2025-06-19,5864,47729800,1,1,2026-07
열녀문,,5822,12542000,1,6,2026-07
이장,2020-03-25,5814,44308040,1,28,2025-11
홍이,2025-09-24,5807,43846730,1,6,2026-02
비밀일 수밖에,2025-09-10,5778,59324200,1,1,2025-11
다시 만난 날들,2020-09-24,5701,53351280,1,1,2025-10
공작새,2024-10-23,5642,46869300,3,22,2024-12
로그 인 벨지움,2021-12-01,5549,54122240,1,5,2024-04
문경,2024-08-28,5549,46759695,1,1,2025-08
한 채,2024-11-20,5540,46944100,1,1,2025-11
딜리버리,2024-11-20,5514,44198400,1,2,2025-03
장마,,5489,11081000,1,6,2026-07
5인의 해병,,5479,12032000,1,6,2026-06
무녀도,2021-11-24,5475,40274000,1,1,2024-03
재꽃,2017-07-06,5453,39580500,1,2,2024-08
젊은이의 양지,2020-10-28,5422,45492770,1,2,2024-06
월성,2019-12-12,5421,45165260,1,1,2026-06
김~치!,2026-03-25,5413,40583100,1,1,2026-06
종착역,2021-09-23,5370,37876798,1,1,2026-07
폭설,2024-10-23,5361,50306400,1,1,2025-01
지리멸렬,,5351,16049500,88,962,2025-09
고당도,2025-12-10,5342,46546090,1,2,2026-04
여름의 카메라,2026-06-24,5305,47513270,29,326,2026-07
사랑방 손님과 어머니,,5290,11563500,1,1,2026-05
해야 할 일,2024-09-25,5273,46365400,1,1,2025-11
맹진사댁 경사,,5266,10889000,1,12,2024-11
보이 인 더 풀,2025-05-14,5241,50191600,1,2,2026-05
파란,2025-04-09,5088,53849900,1,1,2025-06
홈그라운드,2023-12-06,5087,45100800,1,1,2026-06
카브리올레,2024-06-19,5031,42849607,1,4,2024-08
태어나길 잘했어,2022-04-14,5016,41278300,1,1,2025-09
파과: 인터내셔널 컷,2025-12-10,4985,48130370,3,12,2026-05
프랑스 영화처럼,2016-01-14,4971,38632300,1,1,2025-06
삼포가는 길,1975-05-23,4869,9845000,1,2,2024-11
정순,2024-04-17,4861,40476678,1,4,2024-11
싸나희 순정,2021-11-25,4854,31411300,1,27,2025-04
빨간 나라를 보았니,2026-04-15,4805,50657550,2,14,2026-06
백남준: 달은 가장 오래된 TV,2023-12-06,4769,41849084,1,1,2024-11
나를 죽여줘,2022-10-19,4754,40429296,1,1,2025-08
판결,2026-02-25,4748,43032500,32,142,2026-03
여름이 끝날 무렵의 라트라비아타,2024-09-11,4728,39726100,1,7,2024-10
다섯 번째 흉추,2023-08-02,4669,40255203,1,6,2026-03
맨홀,2025-11-19,4643,40233300,2,8,2026-01
경성유랑극단,2025-10-24,4629,36640300,1,1,2025-12
더 납작 엎드릴게요,2024-07-10,4560,36676520,1,1,2025-08
들리나요?,2020-06-10,4556,47788340,1,2,2024-06
델타 보이즈,2017-06-08,4490,31294900,1,3,2025-06
다섯 번째 방,2024-06-05,4475,36013000,1,1,2024-12
상록수,1961-09-20,4443,8960000,1,3,2024-04
의적 일지매,,4438,8996500,1,2,2026-01
익스트림 페스티벌,2023-06-07,4433,37933331,1,1,2024-06
귤레귤레,2025-06-11,4428,37682600,1,1,2026-06
메리 크리스마스 미스터 모,2017-12-14,4424,31267200,1,6,2025-12
담쟁이,2020-10-28,4402,35009130,1,1,2025-08
아버지의 이메일,2014-04-24,4371,29248400,1,1,2024-09
울지마 엄마,2023-05-17,4318,32198000,1,5,2024-12
문워크,2025-01-22,4316,36966500,1,1,2025-06
검은 소년,2024-02-07,4293,36312439,1,3,2024-04
허들,2025-12-03,4258,40211700,1,1,2026-05
별들의 고향,1974-04-26,4229,10532000,1,1,2024-06
나무의 노래,,4185,36505000,6,8,2026-07
윤시내가 사라졌다,2022-06-08,4184,38418200,1,2,2025-03
오월愛,2011-05-12,4167,28676500,1,1,2025-05
고종황제와 의사 안중근,,4119,8367000,1,6,2026-01
