날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-11,4,다윗,2026-07-10,"23,132","15,291 (195.0%)","48,767","235,651,590",4.4%,"153,646,370 (187.4%)","471,051,210",649,"1,343",,,
2026-07-11,6,마티 슈프림,2026-07-01,"5,870","2,344 (66.5%)","97,201","71,051,950",1.3%,"31,381,850 (79.1%)","1,031,588,460",195,214,,,
2026-07-11,1,모아나,2026-07-08,"180,130","121,342 (206.4%)","346,174","2,016,113,460",37.5%,"1,338,618,480 (197.6%)","3,809,602,690","1,449","6,004","905,016",19.9%,39.4%
2026-07-11,10,백룸,2026-05-27,"3,479","1,672 (92.5%)","1,206,168","42,134,300",0.8%,"20,073,400 (91.0%)","12,877,548,160",119,154,,,
2026-07-11,9,와일드 씽,2026-06-03,"4,814","1,027 (27.1%)","1,329,513","42,996,250",0.8%,"9,986,700 (30.3%)","12,841,522,190",301,379,"37,985",12.7%,1.6%
2026-07-11,3,토이 스토리 5,2026-06-17,"103,585","67,280 (185.3%)","2,481,693","1,127,004,460",20.9%,"744,795,930 (194.9%)","25,485,628,950",994,"3,129","393,056",26.4%,17.1%
2026-07-11,8,호프,2026-07-15,"5,098","5,098 (100.0%)","5,632","76,470,000",1.4%,"76,470,000 (100.0%)","84,456,000",27,27,,,
2026-07-12,5,군체,2026-05-21,"13,527","-2,117 (-13.5%)","5,914,321","150,602,370",3.1%,"-24,896,330 (-14.2%)","62,268,221,800",501,736,"83,196",16.3%,3.8%
2026-07-12,8,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"4,880",-700 (-12.5%),"57,150","51,602,950",1.1%,"-6,948,600 (-11.9%)","541,922,350",188,323,"40,470",12.1%,1.8%
2026-07-12,3,눈동자,2026-06-24,"95,586","-15,914 (-14.3%)","1,277,263","1,039,100,150",21.4%,"-176,493,360 (-14.5%)","13,109,484,530","1,035","3,626","456,826",20.9%,20.8%
2026-07-12,4,다윗,2026-07-10,"26,703","3,571 (15.4%)","75,470","269,567,020",5.6%,"33,915,430 (14.4%)","740,618,230",669,"1,249",,,
2026-07-12,7,마티 슈프림,2026-07-01,"4,894",-976 (-16.6%),"102,095","54,764,600",1.1%,"-16,287,350 (-22.9%)","1,086,353,060",187,209,,,
2026-07-12,1,모아나,2026-07-08,"164,906","-15,222 (-8.5%)","511,078","1,824,044,030",37.6%,"-192,049,430 (-9.5%)","5,633,626,720","1,435","5,749","863,496",19.1%,39.3%
2026-07-12,10,백룸,2026-05-27,"2,901",-578 (-16.6%),"1,209,069","34,311,950",0.7%,"-7,822,350 (-18.6%)","12,911,860,110",111,148,,,
2026-07-12,9,와일드 씽,2026-06-03,"3,721","-1,092 (-22.7%)","1,333,233","32,697,100",0.7%,"-10,291,150 (-23.9%)","12,874,211,290",269,329,"34,496",10.8%,1.6%
2026-07-12,2,토이 스토리 5,2026-06-17,"98,665","-4,889 (-4.7%)","2,580,327","1,060,379,000",21.8%,"-66,277,460 (-5.9%)","26,545,659,950","1,012","3,094","392,891",25.1%,17.9%
2026-07-12,6,호프,2026-07-15,"5,050",-48 (-0.9%),"10,682","75,750,000",1.6%,"-720,000 (-0.9%)","160,206,000",27,27,,,
2026-07-13,4,군체,2026-05-21,"6,106","-7,421 (-54.9%)","5,920,427","64,586,700",5.6%,"-86,015,670 (-57.1%)","62,332,808,500",493,788,"92,472",6.6%,5.2%
2026-07-13,9,그린랜드 2: 마이그레이션,2026-07-01,"1,346",-389 (-22.4%),"53,890","13,169,800",1.1%,"-4,914,550 (-27.2%)","514,553,200",130,160,"19,534",6.9%,1.1%
2026-07-13,2,눈동자,2026-06-24,"26,902","-68,682 (-71.9%)","1,304,161","287,857,770",25.0%,"-751,228,380 (-72.3%)","13,397,300,300",898,"3,214","400,323",6.7%,22.5%
2026-07-13,5,다윗,2026-07-10,"5,314","-21,389 (-80.1%)","80,783","55,746,350",4.9%,"-213,820,670 (-79.3%)","796,351,580",455,922,,,
2026-07-13,7,마티 슈프림,2026-07-01,"2,961","-1,933 (-39.5%)","105,055","33,420,950",2.9%,"-21,343,650 (-39.0%)","1,119,759,010",185,211,,,
2026-07-13,1,모아나,2026-07-08,"29,084","-135,846 (-82.4%)","540,553","322,845,250",28.1%,"-1,501,547,020 (-82.3%)","5,962,258,030","1,127","4,097","653,056",4.5%,36.7%
2026-07-13,10,백룸,2026-05-27,"1,325","-1,576 (-54.3%)","1,210,394","15,534,050",1.4%,"-18,777,900 (-54.7%)","12,927,394,160",105,139,,,
2026-07-13,8,와일드 씽,2026-06-03,"1,947","-1,774 (-47.7%)","1,335,180","16,734,300",1.5%,"-15,962,800 (-48.8%)","12,890,945,590",272,337,"38,435",5.1%,2.2%
