영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
비밀의 정원,2021-04-08,한국,한국,몬순픽쳐스,필름다빈,12세이상관람가,드라마,박선주,"한우연,전석호,정다은,오민애,유재명,염혜란,김재록,장준휘,이호연,남상지,홍다연,박지훈,엄준기,박시완,최지영,윤성원,김동화,김민수,안민영,민경진,윤정인,박서영,김민주,송예진,최민지,김오지숙,김현준"
[인디스페이스X원모어핑크] The Love Screening 더럽 섹션 2,,기타,기타,,,,"애니메이션,다큐멘터리",,
폭염,,러시아,러시아,,,,기타,,
별과 모래,,한국,한국,,,,드라마,,
퍼펙트맨,2019-10-02,한국,한국,"(주)맨필름,(주)쇼박스",(주)쇼박스,15세이상관람가,"코미디,드라마",용수,"설경구,조진웅,허준호,진선규,김사랑,지승현,윤진영,권혁범,박보경,이호철,윤상화,김준희,소희정,이주원,박인수,김기무,박찬효,문호진,정찬훈,원인재,박건락,이태검,강성철,윤성원,홍석빈,이윤재,정형석,석보배,유인혜,김여진,김호준,이전익,하성훈,한동원,전정관,최지안,서정희,박재철,한태진,김두열,안상은,심완준,박소라,정태인,옥예린,진혁,장세원,허동수,신성일,정성훈,이지완,김동규,전세나,육은향,심혜연,오운환,선율우,최성,김대근,김선우,강윤혜,이정철,최기상,신범식,박진우,이유준,김민석,김선경"
나쁜 영화 감독판,,한국,한국,,,,드라마,장선우,
러브 인 베트남,2026-01-21,인도,인도,,(주)드림팩트엔터테인먼트,12세이상관람가,"멜로/로맨스,뮤지컬",,
마이 미씽 발렌타인,2021-01-14,기타,기타,,(주)트리플픽쳐스,12세이상관람가,"멜로/로맨스,코미디",진옥훈,"유관정,이패유"
지우러 가는 길,,한국,한국,한국영화아카데미,,,드라마,유재인,"장소원,이지원,장선,심수빈"
[인디스페이스X원모어핑크] The Love Screening 더럽 섹션 1,,기타,기타,,,,드라마,,
누군가의 꿈,2025-11-27,한국,한국,허슬킹픽쳐스,(주)스튜디오디에이치엘,12세이상관람가,다큐멘터리,이로운,윤덕노
