영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
캣츠토피아,2020-04-30,중국,중국,,(주)버킷스튜디오,전체관람가,"판타지,애니메이션",게리 왕,"더못 멀로니,유민상,오나미,박지현"
리골레토,2020-04-05,독일,독일,,(주)케빈앤컴퍼니,12세이상관람가,"공연,드라마,스릴러",필립 슈톨츨,"블라드미르 스토야노프,멜리사 쁘띠,스테판 코스텔로"
사운드 오브 뮤직,1978-02-04,미국,미국,이십세기폭스필름코퍼레이션,"월트디즈니컴퍼니코리아 유한책임회사,(주)팝엔터테인먼트,이십세기폭스코리아(주)","연소자관람가,전체관람가","드라마,뮤지컬",로버트 와이즈,"줄리 앤드류스,크리스토퍼 플러머"
기동전사 건담 역습의 샤아,2025-05-07,일본,일본,,(주)미디어캐슬,12세이상관람가,애니메이션,토미노 요시유키,"후루야 토오루,이케다 슈이치,스즈오키 히로타카"
배드 가이즈,2022-05-04,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,범죄,액션",피에르 페리펠,"샘 록웰,크레이그 로빈슨,안소니 라모스,아콰피나,재지 비츠"
에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마,2025-05-07,한국,한국,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",씨제이포디플렉스 주식회사,전체관람가,공연,오윤동,
파이널 데스티네이션 블러드라인,2025-05-14,미국,미국,,워너브러더스 코리아(주),청소년관람불가,공포(호러),"아담 B. 스테인,잭 리포브스키","케이틀린 산타 후아나,테오 브리오네스,리처드 하몬,오웬 패트릭 조이너,안나 로어,브렉 배싱어,토니 토드"
미션 임파서블: 파이널 레코닝,2025-05-17,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,액션,크리스토퍼 맥쿼리,"톰 크루즈,헤일리 앳웰,빙 라메스,사이먼 페그,바네사 커비,에사이 모랄레스,폼 클레멘티에프"
기동전사 건담 F91,2025-05-07,일본,일본,,(주)미디어캐슬,12세이상관람가,애니메이션,토미노 요시유키,
슈가 글라스 보틀,,일본,일본,,(주)영화사 진진,,드라마,소라 네오,
페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,2025-05-09,한국,한국,(주)영화사 그램,"롯데컬처웍스(주)롯시플,(주)영화사 그램",전체관람가,공연,조윤수,
극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,2025-05-14,일본,일본,,(주)디스테이션,전체관람가,애니메이션,후지모리 마사야,"타카야마 미나미,타나카 마유미"
미라클 워커,,미국,미국,,,,드라마,아서 펜,"앤 밴크로프트,패티 듀크,빅터 조리"
무명 無名,2025-06-25,한국,한국,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),12세이상관람가,다큐멘터리,유진주,"하정우,김중희"
고양이 수비대: 모나리자를 지켜라!,2025-05-14,러시아,러시아,,"그린나래미디어(주),주식회사 로아앤코홀딩스",전체관람가,애니메이션,바실리 로벤스키,
데드 어게인,2025-05-08,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,"스릴러,멜로/로맨스,미스터리",손현우,"김태진,서리나,이고휘,대니 리,손동제"
우리는 공산당이 싫어요,2025-05-09,한국,한국,㈜영화사 아리랑,주식회사 킨스튜디오,15세이상관람가,다큐멘터리,,최윤슬
호랑이 소녀,2025-05-07,말레이시아,말레이시아,,주식회사 오디언스,12세이상관람가,공포(호러),,
하이파이브,2025-05-30,한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,액션",강형철,"이재인,안재홍,유아인,라미란,김희원,김수혁,오정세,신구,박진영,진희경,장광,박형수,유승목,안승균,오하늬,김원해,이동휘,현봉식,정다원,윤지수,문도선,박병렬,이태영,강효준,김종태,임채선,이환진,노익현,류경환,장준현,박우준,이규영,최은경,임한나,배한용,이승철,김희상,임서영,최동구,김태순,송병훈,윤정로,최원,김기남,한주미,나진수,김우택,유진호,김영조,김봉희,박경현,박복만,박노아,김민규"
나를 모르는 그녀의 세계에서,2025-05-22,일본,일본,,"와이드 릴리즈(주),(주)키다리스튜디오",12세이상관람가,멜로/로맨스,미키 타카히로,"나카지마 켄토,미레이"
무법자 제시 제임스,,미국,미국,,,,"범죄,드라마",헨리 킹,"타이론 파워,헨리 폰다,낸시 켈리"
이상한 나라의 수학자,2022-03-09,한국,한국,(주)조이래빗,(주)쇼박스,12세이상관람가,드라마,박동훈,"최민식,김동휘,박해준,박병은,조윤서,주진모,김원해,탕준상,김희정,강말금,김소숙,최재섭,주예린,이주한,정승길,류지훈,이한종,최재훈,김동현,이상현,신재휘,강준규,김태훈,이용빈,유혜림,김승태,황재순,차보미,최연우,고경민,김은석,차영주,이은형,김현선,정소용,이정섭,이지,조진결,김난희,김철호,김하람,신미영"
전문학교,,미국,미국,,,,기타,"버스터 키튼,제임스 W. 호른",
윈체스터 73,,미국,미국,,,,서부극(웨스턴),안소니 만,"셸리 윈터스,스티븐 맥널리,댄 두리아,제임스 스튜어트"
주먹이 운다(Crying Fist),2005-04-01,한국,한국,"(주)브라보엔터테인먼트,시오필름(주)",쇼이스트(주),15세관람가,드라마,류승완,"최민식,류승범,임원희,변희봉,나문희,기주봉,오달수,서혜린,김지훈,이도겸,심재원,권용덕,정민혁,김영인,이윤선,이정현,김병옥,안길강,천호진,김성훈,이원석,박대희,김수현,이태준,김효정,김효선,황재근,양민석,박준면,정인기,김기천"
시라노; 연애조작단,2010-09-16,한국,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"멜로/로맨스,코미디",김현석,"엄태웅,이민정,최다니엘,박신혜,박철민,전아민,송새벽,류현경,김유경,박은성,조재형,송다은,한대룡,서대현,김대인,김상렬,이병규,유일한,이미도,이미소,김지영,이대연,권해효,원현준,김유경"
나막신 나무,,이탈리아,이탈리아,,,,드라마,에르마노 올미,"루이지 오르나기,프란체스카 모리지"
아이다,,미국,미국,,,,공연,,
울려고 내가 왔던가,,한국,한국,극동필름,,,멜로/로맨스,김화랑,"김진규,도금봉,엄앵란"
프렌치 커넥션,1972-05-27,미국,미국,이십세기폭스필름코퍼레이션,,,"드라마,액션,스릴러,범죄",윌리엄 프리드킨,"로이 샤이더,페르난도 레이,진 해크만"
투쟁의 그늘,,미국,미국,,,,액션,월터 힐,"찰스 브론슨,제임스 코번,질 아일랜드"
할리우드 갈라 콘서트,,덴마크,덴마크,,,,공연,,"크리스티안 슈만,실라스 브제레가르드,클라라 톰센,이 지"
아마데우스 오리지널 리마스터링,2025-06-04,미국,미국,,와이드 릴리즈(주),12세이상관람가,드라마,밀러스 포먼,"톰 헐스,F. 머레이 아브라함"
달사람,2014-11-13,프랑스,"프랑스,독일",,주식회사 마운틴픽쳐스,전체관람가,애니메이션,스테판 셰쉬,"카타리나 탈바흐,울리히 터커,코리나 하르포히,토미 웅거러"
도큐멘타 14에 관한 뒷 얘기 파트2,,그리스,그리스,,,,다큐멘터리,,
도큐멘타 14에 관한 뒷 얘기 파트1,,그리스,그리스,,,,다큐멘터리,,
안마방 창녀들,2025-05-09,한국,한국,(주)파랑새미디어,(주)영진크리에이티브,청소년관람불가,"성인물(에로),드라마,멜로/로맨스",이타치,
도큐멘타 14에 관한 뒷 얘기 파트3,,그리스,그리스,,,,다큐멘터리,,
5월에는 오래오래 웃어볼 것 (섹션 1),,한국,한국,,,,기타,,
누나의 맛,2025-05-09,한국,한국,,(주)까멜리아이엔티,청소년관람불가,멜로/로맨스,김태수,
섹스에 중독된 소녀 그리고 유부녀,2025-05-09,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,성인물(에로),성기만,
유부녀들 : 남편보다 맛있는 남자들,2025-05-09,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,,
내 마음의 풍금,1999-03-27,한국,한국,아트힐(주),,모든 관람객이 관람할 수 있는 등급,"멜로/로맨스,드라마",이영재,"이병헌,전도연,이미연,송옥숙,이인철,이대연,김일우,남덕우,김은미,신신애,김동영"
무빙 온 아시아 MOA 1,,기타,기타,,,,기타,,
무빙 온 아시아 MOA 2,,기타,기타,,,,기타,,
무빙 온 아시아 MOA 3,,기타,기타,,,,기타,,
무빙 온 아시아 MOA 4,,기타,기타,,,,기타,,
무빙 온 아시아 MOA 6,,기타,기타,,,,기타,,
사라지는 시간에 바치는 노래,,베트남,베트남,,,,다큐멘터리,,
스카우트,2007-11-14,한국,한국,㈜두루미필름,씨제이엔터테인먼트,12세이상관람가,"드라마,코미디",김현석,"임창정,엄지원,박철민,이대연,백일섭,김희원,탁트인,정종훈,서호영,서정표,윤준식,김철준,정진호,이자은,최권,손종학,전국환,정대용,장원영,이계인,정민성,곽진무,윤경호,신유람,박혁민,이승민"
좀 더 나은 세상을 만드는 법,,베트남,"베트남,한국",,,,다큐멘터리,,
"다시 만날, 조국",2025-05-14,한국,한국,,"(주)엣나인필름,㈜스튜디오 체인",12세이상관람가,다큐멘터리,"정윤철,정상진",조국
라이즈 오디세이 프리미어 인 시네마,,한국,한국,,메가박스중앙(주),전체관람가,다큐멘터리,,
위드 러브,2025-05-14,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,액션,조나단 유세비오,"키 호이 콴,아리아나 데보스,오언조"
"부정선거, 신의 작품인가",2025-05-21,한국,한국,,루디아코프,12세이상관람가,다큐멘터리,,
주차금지,2025-05-21,한국,한국,㈜영화사 주단,"㈜영화사 주단,(주)플레이그램",15세이상관람가,스릴러,손현우,"류현경,김뢰하,차선우,김장원,이정빈,장희정,김영선,정상훈,박성진,김정현"
로데오,2025-05-21,프랑스,프랑스,,필름다빈,15세이상관람가,드라마,롤라 키보론,
그리드맨 유니버스,2025-05-21,일본,일본,,(주)미디어캐슬,12세이상관람가,애니메이션,아메미야 아키라,"미도리카와 히카루,히로세 유야,사이토 소마,미야모토 유메,에노키 준야,와카야마 시온"
기억의 조각,2025-05-29,한국,한국,,목영이엔엠,12세이상관람가,드라마,이광복,"백재우,박승연,박철민,박주현"
굿바이 마이 라이프,,미국,미국,,,,드라마,빅터 플레밍,"스펜서 트레이시,라이오넬 배리모어"
잔느 딜망,,프랑스,프랑스,,,,드라마,샹탈 애커만,"델핀 세이릭,잔 데코트,자크 도니올-발크로즈"
마음이 외치고 싶어해,2017-12-07,일본,일본,,(주)스마일이엔티,12세이상관람가,드라마,쿠마자와 나오토,"나카지마 켄토,요시네 쿄코,이시이 안나,칸이치로"
브레이킹 아이스,2025-06-04,중국,"중국,싱가포르",,(주)디스테이션,15세이상관람가,멜로/로맨스,안소니 첸,"주동우,류호연,굴초소"
극장판 블리치 : 다이아몬드 더스트 리벨리온,2025-05-16,일본,일본,,에스엠지홀딩스 주식회사,12세이상관람가,애니메이션,아베 노리유키,"모리타 마사카즈,박로미,오리카사 푸미코"
숀벤 라이더,,일본,일본,,,,"드라마,액션",소마이 신지,"후지 타츠야,나가세 마사토시,사카가미 시노부"
1979 부마의 기억,,한국,한국,,,,,,
비밀의 화원,2025-07-23,한국,한국,㈜스튜디오 하이파이브,미디어나무(주),12세이상관람가,드라마,김성환,"박정학,최나린,한소현,백진욱,민채연,변동욱,고서희,유채연,서대원"
승리의 시작,2025-06-19,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,신유환
플립,2017-07-12,미국,미국,,"롯데컬처웍스(주)롯데시네마,(주)팝엔터테인먼트",12세이상관람가,"드라마,멜로/로맨스",롭 라이너,"매들린 캐롤,캘런 맥오리피"
광란자,,서독,"서독,미국",,,,"드라마,스릴러,범죄",윌리엄 프리드킨,
오월愛,2011-05-12,한국,한국,상구네,시네마달,전체관람가,다큐멘터리,김태일,"김길자,임병석,이은재"
썬레이: 폴른 솔저,2025-05-15,영국,영국,,주식회사 풍경소리,15세이상관람가,"범죄,액션",,
배창호의 클로즈업,,한국,한국,,,,다큐멘터리,"박장춘,배창호",
그 해 겨울은 따뜻했네,1984-09-29,한국,한국,한진흥업주식회사,,국민학생관람불가,"드라마,멜로/로맨스,전쟁",배창호,"유지인,안성기,이미숙,한진희,양택조"
잔다르크,,미국,미국,,,,드라마,빅터 플레밍,잉그리드 버그만
여행,2010-05-20,한국,한국,"(주)디앤디미디어,(주)삼거리픽쳐스",(주)스폰지이엔티,전체관람가,드라마,배창호,"박상규,박주희,양은용,김지은,윤예인,김유미,배정민"
5월에는 오래오래 웃어볼 것 (섹션 2),,한국,한국,,,,기타,,
무한텍스트 광주 4,,한국,한국,,,,다큐멘터리,,
기억상실증의 여자,2025-05-16,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
네루다,2017-05-25,칠레,"칠레,아르헨티나,프랑스",,(주)에스와이코마드,청소년관람불가,"스릴러,드라마",파블로 라라인,가엘 가르시아 베르날
마지막으로 새엄마와 이별섹스,2025-05-16,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
미술가정교사의 연인,2025-05-16,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
보험사 치토세의 특별한 영업비밀,2025-05-16,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
잃어버린 아내,2025-05-16,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
투모로우 아마겟돈,2025-05-14,미국,미국,,(주)제이앤씨미디어그룹,15세이상관람가,"드라마,스릴러",,
확 꽂혀버린 여대생의 엉덩이,2025-05-16,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
릴로 & 스티치,2025-05-21,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,딘 플라이셔 캠프,크리스 샌더스
바다호랑이,2025-06-25,한국,한국,"(주)영화사 침,(주)굿프로덕션",영화로운 형제,15세이상관람가,드라마,정윤철,"이지훈,손성호,김영택,김채원,길정석,박소윤,고경희,박민선,김귀선,우연서,홍정혜,이승훈,문성복,이성하,김동훈,조하석,조인,조마리,이기영,박호산,김중기,황재희,배보람,최수빈,권기대,김현민,신현실,윤지원,최규선,박문지,박지훈,진현광,전경화,손광수,이병철,손인찬,전선우,윤지영,차은수"
전장의 유산,2025-05-21,한국,한국,컬츠인큐티에프,컬츠인큐티에프,12세이상관람가,다큐멘터리,김채영,
씨너스: 죄인들,2025-05-28,미국,미국,,워너브러더스 코리아(주),청소년관람불가,액션,라이언 쿠글러,"마이클 B. 조던,헤일리 스테인펠드"
몽상가의 나흘 밤,,프랑스,"프랑스,이탈리아",,,,"드라마,멜로/로맨스",로베르 브레송,이자벨 웨인가튼
브링 허 백,2025-06-06,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,공포(호러),"대니 필리푸,마이클 필리푸",샐리 호킨스
알사탕,,일본,일본,,롯데컬처웍스(주)롯데시네마,전체관람가,애니메이션,니시오 다이스케,
내가 누워있을 때,2025-05-28,한국,한국,(주)시네마달,(주)시네마달,12세이상관람가,드라마,최정문,"정지인,오우리,박보람,김영필,이한주,한지원,양말복,백현주,홍승이,하성훈,김현영,서상원,김주헌,이상희"
분리수거,2025-05-21,한국,한국,(주)모그픽쳐스,(주)이놀미디어,15세이상관람가,"드라마,멜로/로맨스",이소민,"박보경,윤혁진,태항호,문경태,박민서,백민지,주병하,김현빈,문진식,김봉조,홍성오,김예지,최효준,박경복,허윤,정인기,정경화,심형우,허철환,김유민,강해빈,황재열,이미옥,윤득비,오누리,홍택근,박서안,이대은,룡세형,이재용,김용명,김동준,웻보이,이영란,심소영,한종훈"
프리 폴,2025-05-21,러시아,러시아,,(주)스튜디오디에이치엘,전체관람가,"SF,액션,스릴러",올레흐 우라자이킨,"알렉산드르 쿠즈네초프,안냐 치포프스카야"
기타맨,2025-05-30,한국,한국,,주식회사 씨엠닉스,15세이상관람가,드라마,"김종면,이선정","이선정,박찬호,주민준,김새론,김지은,박인철,김광규"
어브로드,2025-06-11,한국,한국,써티세븐스디그리(주),스튜디오 에이드,15세이상관람가,"미스터리,드라마,스릴러",지오바니 푸무,"장성범,임영주,토니 덴만"
해피해피,2025-05-29,한국,한국,㈜리필름,시네마 뉴원,12세이상관람가,드라마,이수성,"길은혜,황유주,신지훈,김미준,서영"
소주전쟁,2025-05-30,한국,한국,더램프스튜디오(주),(주)쇼박스,15세이상관람가,드라마,,"유해진,이제훈,손현주,최영준,김기해,한상조,이하정,윤지혜,이서환,박지일,김다흰,정형석,최교식,이창호,김문식,심우성,심우성,이선구,최희진,허진우,정용식"
페니키안 스킴,2025-05-28,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"드라마,코미디",웨스 앤더슨,"베니시오 델 토로,미아 트리플턴,마이클 세라,리즈 아메드,톰 행크스,브라이언 크랜스톤,마티유 아말릭,리처드 아요아데,제프리 라이트,스칼렛 요한슨,베네딕트 컴버배치,루퍼트 프렌드,홉 데이비스"
미야자키 하야오: 자연의 영혼,2025-05-28,프랑스,프랑스,,"(주)스튜디오디에이치엘,(주)키노라이츠",전체관람가,다큐멘터리,레오 파비에,"스즈키 토시오,미야자키 고로,요네바야시 히로마사,미야자키 하야오"
신입생,,미국,미국,,,,"가족,드라마,코미디","프레드 C. 뉴메이어,샘 테일러","해롤드 로이드,조비너 랄스톤"
나의 특별한 형제,2019-05-01,한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진,김자영,김한나,양조아,김기천,고봉구,김경남,송철호,박정훈,서지원,김동훈,신안진,신안진,김민석,안지호,우지현,우지현,오세은,김서원,김현빈,이선주,김희창,윤정로,김승태,강은아,김중기,고현준,이채은,이호원,목규리,김태완,최광일,이도엽,김윤호,연승빈,전채원,서희,선종남,한경원,한별,정유민"
브릭레이어,2025-05-28,헝가리,헝가리,,"(주)올스타엔터테인먼트,(주)플레이그램",15세이상관람가,"액션,스릴러",레니 할린,"아론 에크하트,니나 도브레브"
사랑의 결단,,미국,미국,메트로-골드윈-마이어,,,드라마,테이 가넷,"그리어 가슨,그레고리 펙,도날드 크리스프,라이오넬 배리모어,프레스톤 포스터"
구에로스,,멕시코,멕시코,,,,코미디,,
이탈리아 여행,,이탈리아,"이탈리아,프랑스",,,,드라마,로베르토 로셀리니,"잉그리드 버그만,조지 샌더스,마리아 마우반"
자유의 이차선,,미국,미국,,,,드라마,몬테 헬만,워렌 오츠
어떤 여자들,,미국,미국,,,,드라마,켈리 레인하르트,
[낫띵벗필름x인디스페이스 5월] 이형구: 점점 더 선명하게,,한국,한국,,,,기타,,
옥희의 영화,2010-09-16,한국,한국,(주)영화제작전원사,(주)스폰지이엔티,청소년관람불가,"드라마,멜로/로맨스",홍상수,"이선균,정유미,문성근,서영화,조성덕,김진경,백정림,서정현,이채은"
홍상수 단편선,,한국,한국,,,,드라마,홍상수,
겁쟁이 페달: 더 무비,2016-01-14,일본,일본,,(주)미디어캐슬,전체관람가,애니메이션,나가누마 노리히로,
바람계곡의 나우시카,2000-12-30,일본,일본,스튜디오 지브리,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,어드벤처,판타지,SF",미야자키 하야오,시마모토 스미
끝없음에 관하여,2021-12-16,기타,기타,,찬란,12세이상관람가,기타,로이 안데르손,
2025년 5월 수요단편극장 WP: 수요프리미어,,한국,한국,,,,기타,,
레전드 게임 콘서트,,덴마크,덴마크,,,,공연,,"제임스 셜록,이사벨 슈바르츠바흐,아이뵈르 폴스도티르,아담 리스"
올드 조이,,미국,미국,,,,드라마,켈리 레인하르트,"다니엘 런던,윌 올드햄"
초원의 강,,미국,미국,,,,드라마,켈리 레인하르트,래리 페센덴
도쿄 장거리 연애,,일본,일본,,,청소년관람불가,멜로/로맨스,,
사기게임 -1억엔의 승부,2025-05-19,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
라빠르망,1997-03-22,프랑스,프랑스,이마프로덕션,"주식회사 왓챠,(주)디스테이션","연소자관람불가,청소년관람불가","멜로/로맨스,드라마",질 미무니,"모니카 벨루치,에바 이오네스코,뱅상 카셀,로만느 보링거,장-필립 에코피"
가끔 대주는 전 여친,2025-05-22,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
그 사람은 아내가 있습니다,2025-05-20,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
남자 사냥을 즐기는 여대생,2025-05-23,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
남편 몰래 주는 사촌 누나,2025-05-23,한국,한국,주식회사 바나나픽쳐스,주식회사 바나나픽쳐스,청소년관람불가,"성인물(에로),드라마",,
남편속의 그녀,2025-05-19,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
내 아내의 씨를 받아주세요,2025-05-22,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
달과 자는 여자,2025-05-19,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
문예동인지를 그리는 여자,2025-05-19,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
미망인의 사랑,2025-05-20,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,,
"미친섹스 : 학생과 제자, 형부와 처제 그리고",,한국,한국,(주)영화사가을,,청소년관람불가,멜로/로맨스,,
야릇한 거래를 즐기는 아줌마,2025-05-21,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
유부녀 맛보는 법,2025-05-21,한국,한국,(주)샤이커뮤니케이션즈,(주)샤이커뮤니케이션즈,청소년관람불가,성인물(에로),,
체액 냄새 가득한 권태기 커플의 손장난,2025-05-22,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",,
친구엄마들 4,,한국,한국,(주)영화사가을,,청소년관람불가,멜로/로맨스,,
황홀한 자각몽,2025-05-19,한국,한국,(주)스카이라이프티브이,(주)스카이라이프티브이,청소년관람불가,"성인물(에로),드라마",,
600: 르완다 애국군,,미국,미국,,,,다큐멘터리,,
바라캇,,남아프리카공화국,남아프리카공화국,,,,드라마,,
붉은 아이들의 길,,기타,"기타,프랑스,벨기에",,,,드라마,,
신명,2025-06-02,한국,한국,(주)열공영화제작소,"(주)열공영화제작소,(주)스마일이엔티,주식회사 블루필름웍스",15세이상관람가,"드라마,미스터리",김남균,"김규리,안내상,박찬우,최지현,김현아,신선희,이주미,안민영,박지서,명계남,김인우,조경현,곽나현,박선웅"
바운디 라이브 인 런던,2025-05-28,일본,일본,,메가박스중앙(주),전체관람가,공연,,
드래곤 길들이기,2025-06-06,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"액션,어드벤처,판타지",딘 데블로이스,"메이슨 테임즈,제라드 버틀러,니코 파커,닉 프로스트,줄리안 데니슨,가브리엘 하웰,브론윈 제임스,해리 트레발드윈,이대휘,장예나,안장혁,최석필,남도형,박주광,이상호,김보나,김자연,김민주,김서현,장채연,이동윤,원종준,오건우"
검은 태양은 밝아온다,,미국,미국,워너 브러더스 픽쳐스,,,"멜로/로맨스,드라마",라울 월쉬,"클라크 게이블,이본느 드 카를로,시드니 포이티어,에프렘 짐밸리스트 주니어"
케인호의 반란,,미국,미국,,,,"드라마,전쟁",,
귤레귤레,2025-06-11,한국,한국,주식회사 필름초이스,㈜인디스토리,15세이상관람가,"드라마,멜로/로맨스",고봉수,"이희준,서예화,신민재,정춘,김수진,박은영"
일로 일로,,싱가포르,싱가포르,,"찬란,와이드 릴리즈(주)",12세이상관람가,드라마,안소니 첸,
"빛의 혁명, 민주주의를 지키다",2025-05-30,한국,한국,,영화로운 형제,12세이상관람가,다큐멘터리,,
오케스트라의 소녀,,미국,미국,,,,코미디,헨리 코스터,"디나 더빈,아돌프 멘주"
남국재견,,대만,대만,,,,드라마,허우 샤오시엔,"쿠에이 잉 수,이능정"
초상화의 이면. 아카데미아 카라라의 보물들,2025-05-28,이탈리아,이탈리아,,일미디어,전체관람가,다큐멘터리,,
퀴어,2025-06-20,이탈리아,이탈리아,,(주)누리픽쳐스,청소년관람불가,드라마,루카 구아다니노,"다니엘 크레이그,드류 스타키"
여름,,프랑스,프랑스,,,,드라마,마르셀 아눙,
구조:김씨왕조로부터의 탈출,,미국,"미국,한국",,,,기타,,
누가 훔쳤나?,,미국,미국,,,,다큐멘터리,,
명옥,,한국,한국,,,,"가족,드라마",이진혁,
비욘드 유토피아:그 후,,영국,"영국,한국",,,,다큐멘터리,,
아버지와 기타,,한국,한국,,,12세이상관람가,드라마,,
어젠다: 미국침략,,미국,미국,,,,다큐멘터리,,
열한 살의 아라리,,한국,한국,영화사 무명,,12세이상관람가,다큐멘터리,"김윤희,이용남",
인질93340: 지상낙원으로 간 사람들,,한국,한국,,,,다큐멘터리,,
제5회 서울락스퍼국제영화제 단편모음 3,,한국,한국,,,,기타,,
제5회 서울락스퍼국제영화제 단편모음 4,,한국,한국,,,,기타,,
어두워지기 전에,,이탈리아,"이탈리아,프랑스",,,,드라마,클로드 샤브롤,"스테판 오드랑,미셸 부케"
오이디푸스 왕,,모로코,"모로코,이탈리아",,,,드라마,피에르 파올로 파솔리니,"프랑코 치티,실바나 망가노"
겨울,,프랑스,"프랑스,벨기에",,,,드라마,마르셀 아눙,
봄,,프랑스,프랑스,,,,"드라마,스릴러",마르셀 아눙,
가을,,프랑스,"프랑스,벨기에",,,,드라마,마르셀 아눙,
고속도로 가족,2022-11-02,한국,한국,"(주)영화사 설렘,(주)고고스튜디오",씨제이 씨지브이(CJ CGV)(주),15세이상관람가,드라마,이상문,"라미란,정재훈,정일우,김슬기,백현진,서이수,박다온,이태경,이예준,황정민,이용녀,우지현,오현석,손용범,손예원,최우영,박은영,이재우,장준학,권혁성,김범진,안민영,윤종구,허준석,김준희,류경환,정수교,최형주,김기림,이유리,이태건,김남호,옥수분,석호진,이헌일,차용환,김장호,이샘,허부영,장석문,최서니,이승용,안희주,이경호,천영암,문광식,정진혁,김규진,송승은,정진혁,김규진,서인영,김규진,박경도,이성민,최진호"
잔챙이,2025-06-18,한국,한국,"봄베씨네,에이치필름","봄베씨네,에이치필름",12세이상관람가,드라마,박중하,"김호원,임채영,성환"
2025년 5월 프레임워크,,프랑스,프랑스,,,,기타,,
제3회 반짝다큐페스티발 섹션8,,한국,한국,,,,다큐멘터리,,
스위트홈 감독판,2025-05-29,한국,한국,채널맥,마루아트센터(주),청소년관람불가,"스릴러,판타지",김홍익,"노현희,송승현,강은빈,박수빈,유성민,윤지숙,양광범"
제3회 반짝다큐페스티발 섹션5,,한국,한국,,,,다큐멘터리,,
말아,2022-08-25,한국,한국,왓에버웍스,㈜인디스토리,12세이상관람가,드라마,곽민승,"심달기,정은경,우효원,정의순,손석배,유연석,이준섭,박예진,정미경,이보림,곽민승,송자희,정은미,곽진영,김미경,김인숙,김수진,서은영,곽민승,배유리,윤범식"
제3회 반짝다큐페스티발 섹션9,,한국,한국,,,,다큐멘터리,,
제3회 반짝다큐페스티발 섹션6,,한국,한국,,,,다큐멘터리,,
시저는 죽어야 한다,2013-05-02,이탈리아,이탈리아,,(주)에스와이코마드,12세이상관람가,"드라마,다큐멘터리","파올로 타비아니,비토리오 타비아니","살바토레 스트리아노,지오반니 아르쿠리,코시모 레가"
미치광이 피에로,2025-06-04,프랑스,"프랑스,이탈리아",,엠엔엠인터내셔널(주),15세이상관람가,드라마,장 뤽 고다르,"장 폴 벨몽도,안나 카리나"
브리가둔,,미국,미국,,,,,빈센트 미넬리,진 켈리
