날짜,영화명,좌석수,좌석판매율,좌석점유율
2024-01-09,2만 종의 벌,496,4.4%,0.0%
2024-01-09,해바라기,212,14.1%,0.0%
2024-01-09,엘리자벳과 나,98,2.0%,0.0%
2024-01-09,옥스보우 인시던트,796,3.0%,0.0%
2024-01-09,너는 내 아들,52,11.5%,0.0%
2024-01-09,프레디의 피자가게,143,4.8%,0.0%
2024-01-09,뱀가죽 옷을 입은 사나이,212,6.6%,0.0%
2024-01-09,하늘의 푸르름을 아는 사람이여,148,0.6%,0.0%
2024-01-09,밤쉘: 세상을 바꾼 폭탄선언,91,6.5%,0.0%
2024-01-09,키리에의 노래: 디렉터스 컷,116,0.8%,0.0%
2024-01-09,추억의 장미,212,1.8%,0.0%
2024-01-09,강변의 무코리타,120,1.6%,0.0%
2024-01-09,여름날 우리,120,0.8%,0.0%
2024-01-10,위시,348050,10.2%,14.5%
2024-01-10,인투 더 월드,238250,6.1%,9.9%
2024-01-10,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,61126,9.9%,2.5%
2024-01-10,괴물,27489,15.7%,1.1%
2024-01-10,더 퍼스트 슬램덩크,30193,7.5%,1.2%
2024-01-10,아쿠아맨과 로스트 킹덤,17299,8.3%,0.7%
2024-01-10,트롤: 밴드 투게더,3311,20.6%,0.1%
2024-01-10,말하고 싶은 비밀,7142,10.9%,0.2%
2024-01-10,크레센도,8519,6.3%,0.3%
2024-01-10,류이치 사카모토: 오퍼스,7440,6.3%,0.3%
2024-01-10,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2531,7.2%,0.1%
2024-01-10,사랑은 낙엽을 타고,2842,14.1%,0.1%
2024-01-10,리빙: 어떤 인생,2076,13.6%,0.0%
2024-01-10,클레오의 세계,3789,5.1%,0.1%
2024-01-10,그대들은 어떻게 살 것인가,783,8.5%,0.0%
2024-01-10,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,592,8.4%,0.0%
2024-01-10,덤 머니,524,100.0%,0.0%
2024-01-10,힐마 아프 클린트 - 미래를 위한 그림,1173,4.3%,0.0%
2024-01-10,피아니스트의 전설,586,5.9%,0.0%
2024-01-10,쏘우 X,458,12.8%,0.0%
2024-01-10,티처스 라운지,795,5.4%,0.0%
2024-01-10,이터널 선샤인,102,44.1%,0.0%
2024-01-10,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,654,7.7%,0.0%
2024-01-10,드라이브 마이 카,206,9.7%,0.0%
2024-01-10,노 엑시트,212,100.0%,0.0%
2024-01-10,몽고의 란,520,10.3%,0.0%
2024-01-10,와일드 투어,52,50.0%,0.0%
2024-01-10,릴리 슈슈의 모든 것,180,23.3%,0.0%
2024-01-10,블루 자이언트,123,4.0%,0.0%
2024-01-10,조이랜드,1086,1.8%,0.0%
2024-01-10,사랑의 스잔나,36,8.3%,0.0%
2024-01-10,날씨의 아이,164,2.4%,0.0%
2024-01-10,"그리고, 살아간다",402,1.2%,0.0%
2024-01-10,프로메어,128,7.8%,0.0%
2024-01-10,너의 이름은.,143,2.0%,0.0%
2024-01-10,러브레터,52,19.2%,0.0%
2024-01-10,엔니오: 더 마에스트로,186,24.1%,0.0%
2024-01-10,엘리자벳과 나,98,3.0%,0.0%
2024-01-10,우연과 상상,40,12.5%,0.0%
2024-01-10,하늘의 푸르름을 아는 사람이여,143,0.6%,0.0%
2024-01-11,위시,349343,9.6%,14.8%
2024-01-11,인투 더 월드,224990,5.9%,9.5%
2024-01-11,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,62409,9.2%,2.6%
2024-01-11,괴물,28930,10.5%,1.2%
2024-01-11,더 퍼스트 슬램덩크,31528,10.1%,1.3%
2024-01-11,아쿠아맨과 로스트 킹덤,18583,7.6%,0.7%
2024-01-11,스즈메의 문단속: 다녀왔어,21722,13.3%,0.9%
2024-01-11,트롤: 밴드 투게더,3735,18.2%,0.1%
2024-01-11,립세의 사계,39624,3.1%,1.6%
2024-01-11,말하고 싶은 비밀,7249,9.7%,0.3%
2024-01-11,크레센도,9247,9.1%,0.3%
2024-01-11,류이치 사카모토: 오퍼스,7783,5.1%,0.3%
2024-01-11,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2869,8.8%,0.1%
2024-01-11,사랑은 낙엽을 타고,2467,13.8%,0.1%
2024-01-11,노 베어스,4434,7.6%,0.1%
2024-01-11,리빙: 어떤 인생,2652,10.2%,0.1%
2024-01-11,클레오의 세계,3594,5.8%,0.1%
2024-01-11,보리밭을 흔드는 바람,94,30.8%,0.0%
2024-01-11,그대들은 어떻게 살 것인가,680,14.4%,0.0%
2024-01-11,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,996,10.2%,0.0%
2024-01-11,나의 올드 오크,200,100.0%,0.0%
2024-01-11,힐마 아프 클린트 - 미래를 위한 그림,585,13.1%,0.0%
2024-01-11,이브의 모든 것,1200,11.9%,0.0%
2024-01-11,피아니스트의 전설,751,4.9%,0.0%
2024-01-11,"나, 다니엘 블레이크",729,11.2%,0.0%
2024-01-11,쏘우 X,550,13.8%,0.0%
2024-01-11,티처스 라운지,546,4.3%,0.0%
2024-01-11,이터널 선샤인,102,39.2%,0.0%
2024-01-11,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,333,3.9%,0.0%
2024-01-11,드라이브 마이 카,253,12.2%,0.0%
2024-01-11,"미안해요, 리키",866,7.6%,0.0%
2024-01-11,와일드 투어,100,17.0%,0.0%
2024-01-11,릴리 슈슈의 모든 것,128,4.6%,0.0%
2024-01-11,하타리,340,15.2%,0.0%
2024-01-11,"칼라스-파리, 1958",680,7.5%,0.0%
2024-01-11,블루 자이언트,123,2.4%,0.0%
2024-01-11,조이랜드,267,13.4%,0.0%
2024-01-11,사랑의 스잔나,118,6.7%,0.0%
2024-01-11,날씨의 아이,164,3.6%,0.0%
2024-01-11,"그리고, 살아간다",475,1.2%,0.0%
2024-01-11,프로메어,128,0.7%,0.0%
2024-01-11,패터슨,91,71.4%,0.0%
2024-01-11,오징어 노동조합,230,25.6%,0.0%
2024-01-11,트로이의 헤렌,597,4.0%,0.0%
2024-01-11,너의 이름은.,143,3.4%,0.0%
2024-01-11,러브레터,52,19.2%,0.0%
2024-01-11,성냥공장 소녀,230,21.3%,0.0%
2024-01-11,에브리씽 에브리웨어 올 앳 원스,123,6.5%,0.0%
2024-01-11,2만 종의 벌,81,2.4%,0.0%
2024-01-11,유하,230,16.0%,0.0%
2024-01-11,가위손,152,5.9%,0.0%
2024-01-11,엘리자벳과 나,58,24.1%,0.0%
2024-01-11,프레디의 피자가게,64,4.6%,0.0%
2024-01-11,스펜서,91,21.9%,0.0%
2024-01-11,마에스트로 번스타인,152,3.2%,0.0%
2024-01-11,스즈메의 문단속,128,0.7%,0.0%
2024-01-11,견왕: 이누오,164,0.6%,0.0%
2024-01-12,위시,370034,10.9%,15.1%
2024-01-12,인투 더 월드,221163,6.6%,9.0%
2024-01-12,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,66073,9.7%,2.6%
2024-01-12,괴물,31982,11.5%,1.3%
2024-01-12,더 퍼스트 슬램덩크,32896,9.3%,1.3%
2024-01-12,아쿠아맨과 로스트 킹덤,20617,10.3%,0.8%
2024-01-12,트롤: 밴드 투게더,4238,13.9%,0.1%
2024-01-12,말하고 싶은 비밀,8033,10.1%,0.3%
2024-01-12,크레센도,9189,7.9%,0.3%
2024-01-12,류이치 사카모토: 오퍼스,8699,8.5%,0.3%
2024-01-12,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2815,8.1%,0.1%
2024-01-12,사랑은 낙엽을 타고,3459,9.5%,0.1%
2024-01-12,리빙: 어떤 인생,1977,12.5%,0.0%
2024-01-12,클레오의 세계,2978,6.5%,0.1%
2024-01-12,그대들은 어떻게 살 것인가,678,10.6%,0.0%
2024-01-12,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,333,12.0%,0.0%
2024-01-12,힐마 아프 클린트 - 미래를 위한 그림,662,9.6%,0.0%
2024-01-12,피아니스트의 전설,566,10.4%,0.0%
2024-01-12,쏘우 X,458,15.5%,0.0%
2024-01-12,티처스 라운지,579,2.4%,0.0%
2024-01-12,이터널 선샤인,104,43.2%,0.0%
2024-01-12,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,863,5.3%,0.0%
2024-01-12,드라이브 마이 카,299,12.7%,0.0%
2024-01-12,나폴레옹,413,5.8%,0.0%
2024-01-12,와일드 투어,104,12.5%,0.0%
2024-01-12,릴리 슈슈의 모든 것,128,7.0%,0.0%
2024-01-12,블루 자이언트,163,9.8%,0.0%
2024-01-12,조이랜드,98,1.0%,0.0%
2024-01-12,사랑의 스잔나,118,5.9%,0.0%
2024-01-12,날씨의 아이,164,1.8%,0.0%
2024-01-12,"그리고, 살아간다",950,1.6%,0.0%
2024-01-12,프로메어,254,3.5%,0.0%
2024-01-12,너의 이름은.,148,2.7%,0.0%
2024-01-12,샤인 리마스터링,40,12.5%,0.0%
2024-01-12,열정,40,45.0%,0.0%
2024-01-12,엘리자벳과 나,58,10.3%,0.0%
2024-01-12,하늘의 푸르름을 아는 사람이여,148,4.0%,0.0%
2024-01-12,키리에의 노래: 디렉터스 컷,128,0.7%,0.0%
2024-01-13,위시,451779,20.1%,17.1%
2024-01-13,인투 더 월드,229033,18.6%,8.6%
2024-01-13,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,80842,21.1%,3.0%
2024-01-13,괴물,30793,17.6%,1.1%
2024-01-13,더 퍼스트 슬램덩크,32787,15.7%,1.2%
2024-01-13,아쿠아맨과 로스트 킹덤,20177,19.3%,0.7%
2024-01-13,트롤: 밴드 투게더,6201,12.3%,0.2%
2024-01-13,말하고 싶은 비밀,8280,16.2%,0.3%
2024-01-13,크레센도,8645,14.7%,0.3%
2024-01-13,류이치 사카모토: 오퍼스,6978,12.3%,0.2%
2024-01-13,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",4557,14.1%,0.1%
2024-01-13,사랑은 낙엽을 타고,2597,22.2%,0.0%
2024-01-13,리빙: 어떤 인생,3074,11.7%,0.1%
2024-01-13,클레오의 세계,3251,11.3%,0.1%
2024-01-13,그대들은 어떻게 살 것인가,843,15.8%,0.0%
2024-01-13,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1144,29.0%,0.0%
2024-01-13,힐마 아프 클린트 - 미래를 위한 그림,373,7.2%,0.0%
2024-01-13,피아니스트의 전설,482,16.5%,0.0%
2024-01-13,쏘우 X,212,19.8%,0.0%
2024-01-13,티처스 라운지,816,4.7%,0.0%
2024-01-13,이터널 선샤인,104,54.8%,0.0%
2024-01-13,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,333,20.1%,0.0%
2024-01-13,드라이브 마이 카,164,34.7%,0.0%
2024-01-13,와일드 투어,100,34.0%,0.0%
2024-01-13,릴리 슈슈의 모든 것,180,26.1%,0.0%
2024-01-13,블루 자이언트,123,8.9%,0.0%
2024-01-13,조이랜드,98,6.1%,0.0%
2024-01-13,사랑의 스잔나,118,12.7%,0.0%
2024-01-13,날씨의 아이,164,4.2%,0.0%
2024-01-13,"그리고, 살아간다",561,1.9%,0.0%
2024-01-13,프로메어,254,8.2%,0.0%
2024-01-13,토스카,432,8.3%,0.0%
2024-01-13,너의 이름은.,143,6.2%,0.0%
2024-01-13,샤인 리마스터링,90,10.0%,0.0%
2024-01-13,2만 종의 벌,48,0.0%,0.0%
2024-01-13,프레디의 피자가게,64,9.3%,0.0%
2024-01-13,하늘의 푸르름을 아는 사람이여,143,0.6%,0.0%
2024-01-13,키리에의 노래: 디렉터스 컷,116,0.8%,0.0%
2024-01-14,위시,435737,18.8%,17.1%
2024-01-14,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,79884,22.5%,3.1%
2024-01-14,괴물,32453,15.6%,1.2%
2024-01-14,더 퍼스트 슬램덩크,32441,15.0%,1.2%
2024-01-14,아쿠아맨과 로스트 킹덤,19489,16.9%,0.7%
2024-01-14,트롤: 밴드 투게더,6237,11.0%,0.2%
2024-01-14,말하고 싶은 비밀,8713,18.5%,0.3%
2024-01-14,크레센도,8534,11.3%,0.3%
2024-01-14,류이치 사카모토: 오퍼스,7871,8.3%,0.3%
2024-01-14,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",4176,14.5%,0.1%
2024-01-14,사랑은 낙엽을 타고,3361,11.7%,0.1%
2024-01-14,리빙: 어떤 인생,1961,12.5%,0.0%
2024-01-14,클레오의 세계,3023,8.5%,0.1%
2024-01-14,그대들은 어떻게 살 것인가,843,11.8%,0.0%
2024-01-14,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,333,30.9%,0.0%
2024-01-14,라이즈,539,51.2%,0.0%
2024-01-14,힐마 아프 클린트 - 미래를 위한 그림,661,11.8%,0.0%
2024-01-14,피아니스트의 전설,524,9.5%,0.0%
2024-01-14,쏘우 X,133,30.0%,0.0%
2024-01-14,티처스 라운지,648,7.0%,0.0%
2024-01-14,이터널 선샤인,100,66.0%,0.0%
2024-01-14,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,996,8.5%,0.0%
2024-01-14,드라이브 마이 카,217,26.2%,0.0%
2024-01-14,와일드 투어,100,18.0%,0.0%
2024-01-14,릴리 슈슈의 모든 것,180,27.2%,0.0%
2024-01-14,호두까기 인형,664,11.1%,0.0%
2024-01-14,블루 자이언트,205,26.8%,0.0%
2024-01-14,조이랜드,98,1.0%,0.0%
2024-01-14,사랑의 스잔나,177,11.8%,0.0%
2024-01-14,날씨의 아이,364,18.1%,0.0%
2024-01-14,"그리고, 살아간다",587,2.3%,0.0%
2024-01-14,프로메어,254,7.4%,0.0%
2024-01-14,너의 이름은.,269,8.1%,0.0%
2024-01-14,2만 종의 벌,48,2.0%,0.0%
2024-01-14,너는 내 아들,90,18.8%,0.0%
2024-01-14,하늘의 푸르름을 아는 사람이여,143,1.3%,0.0%
2024-01-15,위시,344862,6.0%,15.8%
2024-01-15,인투 더 월드,167654,5.5%,7.7%
2024-01-15,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,65598,7.4%,3.0%
2024-01-15,괴물,30039,7.2%,1.3%
2024-01-15,더 퍼스트 슬램덩크,29559,6.7%,1.3%
2024-01-15,스즈메의 문단속: 다녀왔어,24355,6.5%,1.1%
2024-01-15,나의 올드 오크,244,95.0%,0.0%
2024-01-15,아쿠아맨과 로스트 킹덤,16297,6.6%,0.7%
2024-01-15,말하고 싶은 비밀,8981,6.9%,0.4%
2024-01-15,크레센도,8244,6.3%,0.3%
2024-01-15,립세의 사계,23277,2.0%,1.0%
2024-01-15,노 베어스,4007,7.7%,0.1%
2024-01-15,류이치 사카모토: 오퍼스,6163,4.9%,0.2%
2024-01-15,사랑은 낙엽을 타고,3043,9.9%,0.1%
2024-01-15,트롤: 밴드 투게더,2404,6.8%,0.1%
2024-01-15,리빙: 어떤 인생,2662,8.1%,0.1%
2024-01-15,웡카,544,100.0%,0.0%
2024-01-15,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2271,7.6%,0.1%
2024-01-15,스즈메의 문단속,128,3.1%,0.0%
2024-01-15,보리밭을 흔드는 바람,1059,19.9%,0.0%
2024-01-15,클레오의 세계,3335,3.1%,0.1%
2024-01-15,그대들은 어떻게 살 것인가,850,6.8%,0.0%
2024-01-15,"나, 다니엘 블레이크",648,4.9%,0.0%
2024-01-15,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,844,6.9%,0.0%
2024-01-15,이터널 선샤인,102,34.3%,0.0%
2024-01-15,힐마 아프 클린트 - 미래를 위한 그림,203,20.1%,0.0%
2024-01-15,블루 자이언트,123,11.3%,0.0%
2024-01-15,티처스 라운지,232,7.3%,0.0%
2024-01-15,고령가 소년 살인사건,58,84.4%,0.0%
2024-01-15,"미안해요, 리키",202,7.9%,0.0%
2024-01-15,피아니스트의 전설,449,14.0%,0.0%
2024-01-15,4인의 무뢰한,1500,11.4%,0.0%
2024-01-15,메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,2690,1.6%,0.1%
2024-01-15,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,271,0.7%,0.0%
2024-01-15,쏘우 X,331,20.5%,0.0%
2024-01-15,릴리 슈슈의 모든 것,128,1.5%,0.0%
2024-01-15,타이페이 스토리,58,67.2%,0.0%
2024-01-15,드라이브 마이 카,223,8.5%,0.0%
2024-01-15,공포분자,58,74.1%,0.0%
2024-01-15,걸한트,1040,6.7%,0.0%
2024-01-15,너의 이름은.,343,18.0%,0.0%
2024-01-15,해탄적일천,58,48.2%,0.0%
2024-01-15,와일드 투어,100,13.0%,0.0%
2024-01-15,날씨의 아이,164,5.4%,0.0%
2024-01-15,에브리씽 에브리웨어 올 앳 원스,123,3.2%,0.0%
2024-01-15,조이랜드,111,5.4%,0.0%
2024-01-15,프로메어,128,1.5%,0.0%
2024-01-15,사랑의 스잔나,118,13.5%,0.0%
2024-01-15,아마존: 더 비기닝,84,9.5%,0.0%
2024-01-15,프레디의 피자가게,64,7.8%,0.0%
2024-01-15,너는 내 아들,52,17.3%,0.0%
2024-01-15,히즈,158,10.1%,0.0%
2024-01-15,"그리고, 살아간다",965,1.2%,0.0%
2024-01-15,재키,91,10.9%,0.0%
2024-01-15,2만 종의 벌,78,5.1%,0.0%
2024-01-15,하늘의 푸르름을 아는 사람이여,148,0.6%,0.0%
2024-01-15,언어의 정원,126,1.5%,0.0%
2024-01-15,우리의 20세기,91,5.4%,0.0%
2024-01-15,거울 속 외딴 성,123,3.2%,0.0%
2024-01-15,샤인 리마스터링,90,3.3%,0.0%
2024-01-16,위시,347484,6.3%,15.5%
2024-01-16,인투 더 월드,173213,5.8%,7.7%
2024-01-16,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,67210,7.3%,3.0%
2024-01-16,괴물,31386,7.2%,1.4%
2024-01-16,더 퍼스트 슬램덩크,30197,7.0%,1.3%
2024-01-16,스즈메의 문단속: 다녀왔어,24324,6.5%,1.0%
2024-01-16,나의 올드 오크,293,92.8%,0.0%
2024-01-16,아쿠아맨과 로스트 킹덤,18338,5.9%,0.8%
2024-01-16,말하고 싶은 비밀,9336,7.5%,0.4%
2024-01-16,크레센도,9451,14.4%,0.4%
2024-01-16,립세의 사계,35531,3.8%,1.5%
2024-01-16,노 베어스,5062,10.5%,0.2%
2024-01-16,류이치 사카모토: 오퍼스,7799,5.7%,0.3%
2024-01-16,사랑은 낙엽을 타고,2381,13.3%,0.1%
2024-01-16,트롤: 밴드 투게더,3376,9.8%,0.1%
2024-01-16,리빙: 어떤 인생,1991,12.2%,0.0%
2024-01-16,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",1799,11.1%,0.0%
2024-01-16,스즈메의 문단속,128,3.9%,0.0%
2024-01-16,보리밭을 흔드는 바람,206,16.0%,0.0%
2024-01-16,클레오의 세계,3247,3.9%,0.1%
2024-01-16,에메랄드,1144,19.4%,0.0%
2024-01-16,그대들은 어떻게 살 것인가,643,10.5%,0.0%
2024-01-16,"나, 다니엘 블레이크",837,9.4%,0.0%
2024-01-16,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,681,8.0%,0.0%
2024-01-16,하나 그리고 둘,92,73.9%,0.0%
2024-01-16,이터널 선샤인,102,31.3%,0.0%
2024-01-16,힐마 아프 클린트 - 미래를 위한 그림,777,11.0%,0.0%
2024-01-16,블루 자이언트,123,4.8%,0.0%
2024-01-16,소녀는 졸업하지 않는다,76,98.6%,0.0%
2024-01-16,티처스 라운지,895,8.2%,0.0%
2024-01-16,"미안해요, 리키",802,5.6%,0.0%
2024-01-16,피아니스트의 전설,716,7.6%,0.0%
2024-01-16,메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,3726,1.5%,0.1%
2024-01-16,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,731,5.8%,0.0%
2024-01-16,쏘우 X,385,11.6%,0.0%
2024-01-16,릴리 슈슈의 모든 것,180,28.8%,0.0%
2024-01-16,깁슨 가족 연대기,510,10.3%,0.0%
2024-01-16,타이페이 스토리,92,38.0%,0.0%
2024-01-16,드라이브 마이 카,313,20.4%,0.0%
2024-01-16,공포분자,92,58.6%,0.0%
2024-01-16,걸한트,1040,3.8%,0.0%
2024-01-16,너의 이름은.,143,4.1%,0.0%
2024-01-16,자니 기타,759,8.5%,0.0%
2024-01-16,나폴레옹,413,5.3%,0.0%
2024-01-16,와일드 투어,50,28.0%,0.0%
2024-01-16,날씨의 아이,290,1.7%,0.0%
2024-01-16,에브리씽 에브리웨어 올 앳 원스,123,8.1%,0.0%
2024-01-16,어파이어,42,40.4%,0.0%
2024-01-16,조이랜드,140,8.5%,0.0%
2024-01-16,프로메어,128,1.5%,0.0%
2024-01-16,마타하리,212,7.0%,0.0%
2024-01-16,사랑의 스잔나,118,5.9%,0.0%
2024-01-16,아마존: 더 비기닝,84,14.2%,0.0%
2024-01-16,해바라기,212,8.0%,0.0%
2024-01-16,러스트 앤 본,91,20.8%,0.0%
2024-01-16,열정,40,47.5%,0.0%
2024-01-16,프레디의 피자가게,64,3.1%,0.0%
2024-01-16,델마,91,16.4%,0.0%
2024-01-16,이브의 세 얼굴,597,2.0%,0.0%
2024-01-16,2만 종의 벌,48,4.1%,0.0%
2024-01-16,하늘의 푸르름을 아는 사람이여,148,1.3%,0.0%
2024-01-17,위시,351507,6.1%,15.5%
2024-01-17,인투 더 월드,117981,7.4%,5.2%
2024-01-17,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,60656,7.2%,2.6%
2024-01-17,괴물,30593,7.5%,1.3%
2024-01-17,더 퍼스트 슬램덩크,24790,6.8%,1.0%
2024-01-17,스즈메의 문단속: 다녀왔어,28970,6.9%,1.2%
2024-01-17,나의 올드 오크,13046,16.8%,0.5%
2024-01-17,아쿠아맨과 로스트 킹덤,14332,5.7%,0.6%
2024-01-17,말하고 싶은 비밀,12040,7.1%,0.5%
2024-01-17,크레센도,7105,8.1%,0.3%
2024-01-17,립세의 사계,21971,4.0%,0.9%
2024-01-17,노 베어스,2543,15.6%,0.1%
2024-01-17,류이치 사카모토: 오퍼스,3244,6.3%,0.1%
2024-01-17,사랑은 낙엽을 타고,2370,7.8%,0.1%
2024-01-17,트롤: 밴드 투게더,1519,32.1%,0.0%
2024-01-17,리빙: 어떤 인생,1533,7.8%,0.0%
2024-01-17,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",764,28.1%,0.0%
2024-01-17,스즈메의 문단속,4532,7.8%,0.2%
2024-01-17,보리밭을 흔드는 바람,1225,13.1%,0.0%
2024-01-17,클레오의 세계,1291,5.0%,0.0%
2024-01-17,그대들은 어떻게 살 것인가,941,8.3%,0.0%
2024-01-17,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,793,6.0%,0.0%
2024-01-17,이터널 선샤인,50,58.0%,0.0%
2024-01-17,힐마 아프 클린트 - 미래를 위한 그림,746,5.7%,0.0%
2024-01-17,블루 자이언트,123,3.2%,0.0%
2024-01-17,티처스 라운지,399,2.5%,0.0%
2024-01-17,고령가 소년 살인사건,58,63.7%,0.0%
2024-01-17,"미안해요, 리키",500,2.8%,0.0%
2024-01-17,피아니스트의 전설,471,2.9%,0.0%
2024-01-17,메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,507,4.3%,0.0%
2024-01-17,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,515,2.7%,0.0%
2024-01-17,쏘우 X,54,7.4%,0.0%
2024-01-17,릴리 슈슈의 모든 것,164,0.6%,0.0%
2024-01-17,드라이브 마이 카,30,10.0%,0.0%
2024-01-17,걸한트,520,6.1%,0.0%
2024-01-17,너의 이름은.,116,1.7%,0.0%
2024-01-17,와일드 투어,52,26.9%,0.0%
2024-01-17,날씨의 아이,250,4.8%,0.0%
2024-01-17,에브리씽 에브리웨어 올 앳 원스,123,4.0%,0.0%
2024-01-17,조이랜드,351,1.7%,0.0%
2024-01-17,프로메어,164,0.6%,0.0%
2024-01-17,사랑의 스잔나,88,1.1%,0.0%
2024-01-17,아마존: 더 비기닝,93,6.4%,0.0%
2024-01-17,프레디의 피자가게,64,7.8%,0.0%
2024-01-17,너는 내 아들,52,7.6%,0.0%
2024-01-17,하늘의 푸르름을 아는 사람이여,116,0.8%,0.0%
2024-01-18,위시,352414,6.2%,15.6%
2024-01-18,인투 더 월드,119127,7.2%,5.2%
2024-01-18,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,62978,7.0%,2.7%
2024-01-18,덤 머니,97202,4.4%,4.3%
2024-01-18,괴물,32340,6.4%,1.4%
2024-01-18,더 퍼스트 슬램덩크,24259,6.1%,1.0%
2024-01-18,스즈메의 문단속: 다녀왔어,28987,5.2%,1.2%
2024-01-18,나의 올드 오크,12431,10.2%,0.5%
2024-01-18,아쿠아맨과 로스트 킹덤,13448,5.4%,0.5%
2024-01-18,말하고 싶은 비밀,11880,7.0%,0.5%
2024-01-18,크레센도,7832,9.4%,0.3%
2024-01-18,립세의 사계,22479,3.3%,0.9%
2024-01-18,콜 미 바이 유어 네임,4490,18.6%,0.1%
2024-01-18,킹덤 3: 운명의 불꽃,27640,3.3%,1.2%
2024-01-18,라이즈,8675,5.3%,0.3%
2024-01-18,노 베어스,3006,11.3%,0.1%
2024-01-18,작은 아씨들,4313,10.4%,0.1%
2024-01-18,류이치 사카모토: 오퍼스,3283,8.8%,0.1%
